ticker,cik,company_name,sic,sic_description,latest_fiscal_year,period_end
,1443089,"Wearable Health Solutions, Inc.",,,2023,2023-06-30
,1446371,"Strategic Realty Trust, Inc.",,,2023,2023-12-31
,1448056,"New Relic, Inc.",,,2023,2023-03-31
,1449488,CSI Compressco LP,,,2023,2023-12-31
GMBL,1451448,"ESPORTS ENTERTAINMENT GROUP, INC.",7900,Services-Amusement & Recreation Services,2023,2023-06-30
,1458412,"CROSSFIRST     BANKSHARES, INC.",,,2023,2023-12-31
,1459417,"2U, INC.",,,2023,2023-12-31
,1463389,"ATEL 14, LLC",,,2023,2023-12-31
ASII,1464865,"Accredited Solutions, Inc.",2080,Beverages,2023,2023-12-31
VICP,1468639,"VICAPSYS LIFE SCIENCES, INC.",2834,Pharmaceutical Preparations,2023,2023-12-31
,1474835,INTELLIPHARMACEUTICS INTERNATIONAL INC.,,,2023,2022-11-30
CANN,1477009,TREES CORPORATION,5912,Retail-Drug Stores and Proprietary Stores,2023,2023-12-31
,1478069,ContraFect Corporation,,,2023,2023-12-31
,1479290,"Revance Therapeutics, Inc.",,,2023,2023-12-31
,1483510,"EXP OldCo Winddown, Inc.",,,2023,2024-02-03
,1485029,"NEW ASIA HOLDINGS, INC.",,,2023,2023-12-31
,1487839,Luokung Technology Corp.,,,2023,2023-12-31
APHD,1490054,"VERDE BIO HOLDINGS, INC.",1311,Crude Petroleum & Natural Gas,2023,2023-04-30
FPHOY,1490078,First Phosphate Corp.,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),2023,2024-02-29
,1491829,ALPHA     NETWORK ALLIANCE VENTURES INC.,,,2023,2023-06-30
,1492674,"T2 Biosystems, Inc.",,,2023,2023-12-31
,1496963,"SQUARESPACE, INC.",,,2023,2023-12-31
,1498233,"Cepton, Inc.",,,2023,2023-12-31
,1499717,"STAFFING 360 SOLUTIONS, INC.",,,2023,2023-12-30
,1500305,Sustainable Projects group Inc.,,,2023,2023-12-31
,1502152,GlobeStar Therapeutics Corp,,,2023,2023-09-30
,1504239,"Point of Care Nano-Technology, Inc.",,,2023,2023-07-31
,1505611,"DecisionPoint Systems, Inc.",,,2023,2023-12-31
,1506042,Navios South American Logistics Inc.,,,2023,2023-12-31
,1506928,"Avinger, Inc.",,,2023,2023-12-31
,1508381,BIONIK LABORATORIES CORP.,,,2023,2023-03-31
,1509786,GUSKIN GOLD CORP.,,,2023,2023-09-30
NASC,1509957,Can B Corp.,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",2023,2023-12-31
,1510518,GENUFOOD ENERGY ENZYMES CORP.,,,2023,2023-09-30
NTRR,1512886,NEUTRA CORP.,2833,Medicinal Chemicals & Botanical Products,2023,2023-01-31
,1513818,"Aravive, Inc.",,,2023,2023-09-30
AXIM,1514946,"AXIM BIOTECHNOLOGIES, INC.",2834,Pharmaceutical Preparations,2023,2023-12-31
,1517006,"GATOS SILVER, INC.",,,2023,2023-12-31
,1519117,"ATEL 15, LLC",,,2023,2023-12-31
,1524741,"U.S. Silica Holdings, Inc.",,,2023,2023-12-31
,1524872,THUNDER ENERGIES CORPORATION,,,2023,2023-12-31
,1524931,"CHUY’S HOLDINGS, INC.",,,2023,2023-12-31
WNFT,1528188,Worldwide     NFT Inc.,7374,Services-Computer Processing & Data Preparation,2023,2023-06-30
,1530163,"SAMSARA LUGGAGE, INC.",,,2023,2023-12-31
,1531048,"Inari Medical, Inc.",,,2023,2023-12-31
WTER,1532390,ALKALINE WATER Co         INC,5140,Wholesale-Groceries & Related Products,2023,2023-03-31
,1533030,Cryomass Technologies Inc,,,2023,2023-12-31
,1534126,GasLog Ltd.,,,2023,2023-12-31
,1535079,MCX TECHNOLOGIES CORPORATION,,,2023,2023-12-31
,1536089,VIRTUAL INTERACTIVE TECHNOLOGIES CORP.,,,2023,2023-09-30
,1536394,"U.S. Lighting Group, Inc.",,,2023,2023-12-31
,1537028,"Independence Contract Drilling, Inc.",,,2023,2023-12-31
,1537561,"ARCH THERAPEUTICS, INC.",,,2023,2023-09-30
,1538210,"NEXIMMUNE, INC.",,,2023,2023-12-31
,1543268,Bit Brother Limited,,,2023,2023-06-30
,1549922,"Summit Midstream Partners, LP",,,2023,2023-12-31
PLSH,1552189,"Panacea Life Sciences Holdings, Inc.",2833,Medicinal Chemicals & Botanical Products,2023,2023-12-31
,1554906,CROWN BAUS CAPITAL CORP,,,2023,2023-04-30
,1555074,ALTISOURCE ASSET MANAGEMENT CORPORATION,,,2023,2023-12-31
,1555214,"WALLY WORLD MEDIA, INC.",,,2023,2023-09-30
,1556179,"Rocky Mountain Industrials, Inc.",,,2023,2023-03-31
,1556263,"SYROS PHARMACEUTICALS, INC.",,,2023,2023-12-31
,1556266,"BAIYU Holdings, Inc.",,,2023,2023-12-31
,1559157,"SUNSTOCK, INC.",,,2023,2023-12-31
,1559356,Biostax Corp.,,,2023,2023-12-31
,1559998,"Gaucho Group Holdings, Inc.",,,2023,2023-12-31
,1560241,"G1 THERAPEUTICS, INC.",,,2023,2023-12-31
,1561566,QIWI PLC,,,2023,2023-12-31
,1564618,"Independent Bank Group, Inc.",,,2023,2023-12-31
,1567388,NAMI CORP.,,,2023,2023-06-30
,1569083,"MAKINGORG, INC.",,,2023,2023-12-31
,1572565,INDOOR HARVEST CORP,,,2023,2023-12-31
,1572621,AENZA S.A.A.,,,2023,2023-12-31
,1574540,PHYSICIANS REALTY TRUST,,,2023,2023-12-31
,1575434,"VERICITY, INC.",,,2023,2023-12-31
